schedule_date,season,week,week_label,home_team,score_home,score_away,away_team,team_favorite_id,spread_favorite,home_line,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,stadium,stadium_neutral,point_diff,home_win
2023-09-07,2023,1,Week 1,KC,20,21,DET,KC,-4.5,-4.5,53.0,,,,GEHA Field at Arrowhead Stadium,False,-1,0.0
2023-09-10,2023,1,Week 1,ATL,24,10,CAR,ATL,-3.5,-3.5,39.5,72.0,0.0,,Mercedes-Benz Stadium,False,14,1.0
2023-09-10,2023,1,Week 1,BAL,25,9,HOU,BAL,-9.5,-9.5,43.5,,,,M&T Bank Stadium,False,16,1.0
2023-09-10,2023,1,Week 1,CHI,20,38,GB,CHI,-1.0,-1.0,41.5,,,,Soldier Field,False,-18,0.0
2023-09-10,2023,1,Week 1,CLE,24,3,CIN,CIN,-2.0,2.0,47.5,,,,FirstEnergy Stadium,False,21,1.0
2023-09-10,2023,1,Week 1,DEN,16,17,LV,DEN,-3.5,-3.5,43.0,,,,Empower Field at Mile High,False,-1,0.0
2023-09-10,2023,1,Week 1,IND,21,31,JAX,JAX,-4.5,4.5,46.0,72.0,0.0,,Lucas Oil Stadium,False,-10,0.0
2023-09-10,2023,1,Week 1,LAC,34,36,MIA,LAC,-3.0,-3.0,51.0,72.0,0.0,,SoFi Stadium,False,-2,0.0
2023-09-10,2023,1,Week 1,MIN,17,20,TB,MIN,-5.0,-5.0,46.0,72.0,0.0,,U.S. Bank Stadium,False,-3,0.0
2023-09-10,2023,1,Week 1,NE,20,25,PHI,PHI,-3.5,3.5,44.5,,,,Gillette Stadium,False,-5,0.0
2023-09-10,2023,1,Week 1,NO,16,15,TEN,NO,-3.0,-3.0,41.5,72.0,0.0,,Caesars Superdome,False,1,1.0
2023-09-10,2023,1,Week 1,NYG,0,40,DAL,DAL,-3.5,3.5,45.0,,,,MetLife Stadium,False,-40,0.0
2023-09-10,2023,1,Week 1,PIT,7,30,SF,SF,-2.0,2.0,41.5,,,,Acrisure Stadium,False,-23,0.0
