team,gp,off_plays,off_epa_per_play,off_yards_per_play,off_success_rate,off_explosive_rate,off_third_down_rate,off_third_down_conv_rate,off_pass_plays,off_pass_epa,off_pass_yards_per_att,off_pass_success_rate,off_pass_explosive_rate,off_air_yards_per_att,off_yac_per_rec,off_rush_plays,off_rush_epa,off_rush_yards_per_att,off_rush_success_rate,off_rush_explosive_rate,def_plays,def_epa_allowed,def_yards_per_play_allowed,def_success_rate_allowed,def_explosive_rate_allowed,def_third_down_rate_allowed,def_third_down_conv_rate_allowed,def_pass_plays,def_pass_epa_allowed,def_pass_yards_per_att_allowed,def_pass_success_rate_allowed,def_pass_explosive_rate_allowed,def_air_yards_per_att_allowed,def_yac_per_rec_allowed,def_rush_plays,def_rush_epa_allowed,def_rush_yards_per_att_allowed,def_rush_success_rate_allowed,def_rush_explosive_rate_allowed
BAL,2,100,0.255303776833937,6.78,0.45,0.19,0.22,0.09,53,0.3422853529064566,7.377358490566038,0.4716981132075472,0.1509433962264151,9.291666666666666,5.303030303030303,47,0.15721816977343617,6.1063829787234045,0.425531914893617,0.23404255319148937,149,-0.00562564157736415,5.530201342281879,0.436241610738255,0.087248322147651,0.21476510067114093,0.09395973154362416,99,-0.0910389759498454,6.02020202020202,0.3838383838383838,0.10101010101010101,7.655913978494624,4.0,50,0.1634927604801487,4.56,0.54,0.06
BUF,2,144,0.21767627995610292,6.3125,0.4791666666666667,0.09722222222222222,0.1875,0.08333333333333333,77,0.18929781614044333,7.376623376623376,0.42857142857142855,0.11688311688311688,7.583333333333333,5.270833333333333,67,0.25029033538604006,5.08955223880597,0.5373134328358209,0.07462686567164178,97,0.05571796377259025,6.041237113402062,0.422680412371134,0.1958762886597938,0.2268041237113402,0.061855670103092786,47,0.09937900239550863,5.276595744680851,0.3829787234042553,0.10638297872340426,8.414634146341463,5.5,50,0.014676587467046974,6.76,0.46,0.28
IND,2,137,0.20859951280134495,6.5036496350364965,0.5109489051094891,0.11678832116788321,0.20437956204379562,0.0948905109489051,65,0.3684784555643052,8.738461538461538,0.5692307692307692,0.1076923076923077,8.333333333333334,5.4,72,0.06426435614033925,4.486111111111111,0.4583333333333333,0.125,101,-0.016954434407924664,5.316831683168317,0.44554455445544555,0.0891089108910891,0.18811881188118812,0.0891089108910891,65,-0.11995731893774828,5.246153846153846,0.4307692307692308,0.046153846153846156,6.245901639344262,4.926829268292683,36,0.16902299599314574,5.444444444444445,0.4722222222222222,0.16666666666666666
GB,2,107,0.17762006164525226,6.289719626168225,0.4766355140186916,0.102803738317757,0.205607476635514,0.08411214953271028,55,0.30413953567237095,8.309090909090909,0.4727272727272727,0.10909090909090909,12.471698113207546,4.828571428571428,52,0.0438013871934921,4.153846153846154,0.4807692307692308,0.09615384615384616,128,-0.12178531108380895,3.7265625,0.390625,0.0234375,0.2421875,0.078125,88,-0.08650745435967813,4.306818181818182,0.4318181818181818,0.022727272727272728,5.525,4.1454545454545455,40,-0.19939659587689676,2.45,0.3,0.025
DET,2,122,0.1620053726646525,6.213114754098361,0.48360655737704916,0.09836065573770492,0.20491803278688525,0.07377049180327869,71,0.3588422276335312,7.52112676056338,0.5492957746478874,0.08450704225352113,6.522388059701493,5.296296296296297,51,-0.11202240582143351,4.392156862745098,0.39215686274509803,0.11764705882352941,110,-0.01307947785959969,5.509090909090909,0.39090909090909093,0.12727272727272726,0.20909090909090908,0.1,59,0.16942510945447606,6.661016949152542,0.3898305084745763,0.11864406779661017,10.727272727272727,3.4054054054054053,51,-0.2242122357327461,4.176470588235294,0.39215686274509803,0.13725490196078433
LAC,2,112,0.1590240227917385,6.401785714285714,0.5089285714285714,0.09821428571428571,0.20535714285714285,0.09821428571428571,66,0.42023314504161396,8.181818181818182,0.5757575757575758,0.10606060606060606,9.60655737704918,4.954545454545454,46,-0.21575428304503938,3.847826086956522,0.41304347826086957,0.08695652173913043,123,-0.10559829411846482,4.59349593495935,0.3821138211382114,0.11382113821138211,0.2601626016260163,0.11382113821138211,87,-0.2240292786483269,4.586206896551724,0.3218390804597701,0.06896551724137931,6.938271604938271,5.4375,36,0.18060991849536853,4.611111111111111,0.5277777777777778,0.2222222222222222
LA,2,112,0.1559969997496844,6.633928571428571,0.45535714285714285,0.14285714285714285,0.21428571428571427,0.10714285714285714,66,0.17827971188090333,7.787878787878788,0.4696969696969697,0.16666666666666666,7.870967741935484,4.545454545454546,46,0.12402615190923984,4.978260869565218,0.43478260869565216,0.10869565217391304,121,-0.12780026035481082,4.2727272727272725,0.38016528925619836,0.08264462809917356,0.19834710743801653,0.06611570247933884,68,-0.22547366398423274,4.323529411764706,0.39705882352941174,0.07352941176470588,6.45,4.026315789473684,53,-0.0024834406038543914,4.2075471698113205,0.3584905660377358,0.09433962264150944
TB,2,128,0.12578628591027247,4.8515625,0.453125,0.1015625,0.21875,0.1015625,76,0.06740591091526779,4.605263157894737,0.40789473684210525,0.06578947368421052,9.185714285714285,4.142857142857143,52,0.21111144936451007,5.211538461538462,0.5192307692307693,0.15384615384615385,116,0.0073239920339985476,5.387931034482759,0.4224137931034483,0.09482758620689655,0.20689655172413793,0.06896551724137931,71,0.0724311632504747,6.633802816901408,0.4507042253521127,0.11267605633802817,7.318181818181818,7.825,45,-0.0954006558853305,3.422222222222222,0.37777777777777777,0.06666666666666667
JAX,2,131,0.11945830906598714,6.129770992366412,0.48854961832061067,0.0916030534351145,0.19083969465648856,0.08396946564885496,74,0.08725883565331105,6.243243243243243,0.4864864864864865,0.08108108108108109,7.342465753424658,5.295454545454546,57,0.1612611341982333,5.982456140350878,0.49122807017543857,0.10526315789473684,125,-0.12678857615233435,4.848,0.392,0.064,0.232,0.112,84,-0.2051298507083479,5.285714285714286,0.39285714285714285,0.07142857142857142,7.8625,4.1521739130434785,41,0.033715498547790934,3.951219512195122,0.3902439024390244,0.04878048780487805
NE,2,121,0.11351052284768612,5.570247933884297,0.45454545454545453,0.0743801652892562,0.21487603305785125,0.09090909090909091,76,0.19295878559508858,6.407894736842105,0.47368421052631576,0.06578947368421052,7.057971014492754,4.959183673469388,45,-0.02066876534792698,4.155555555555556,0.4222222222222222,0.08888888888888889,112,0.1403027699473996,6.678571428571429,0.45535714285714285,0.13392857142857142,0.20535714285714285,0.08035714285714286,74,0.32675589274822064,8.513513513513514,0.5405405405405406,0.17567567567567569,9.261538461538462,5.7,38,-0.22279015340156771,3.1052631578947367,0.2894736842105263,0.05263157894736842
